rank,feature,gain,split_count
201,feature_l_lag_5,1270544.2006835938,30
202,feature_ah_lag_14,1267598.7028808594,55
203,feature_n_lag_1,1260157.6000976562,37
204,feature_cg_lag_5,1259688.2111816406,54
205,feature_ar_lag_5,1246809.3562011719,47
206,feature_n_lag_28,1246080.4528808594,65
207,feature_n_lag_14,1245908.5620117188,52
208,feature_aj_lag_14,1225318.5441894531,42
209,feature_i_rolling_mean_3,1201677.2104492188,37
210,feature_al_rolling_std_7,1191573.390625,64
211,feature_ca_rolling_mean_7,1188571.4833984375,27
212,feature_ah,1188503.9274902344,62
213,feature_an,1179880.4609375,26
214,feature_aq_lag_28,1177564.1140136719,49
215,feature_bg_lag_1,1167824.1318359375,44
216,feature_cf_lag_5,1167302.4438476562,28
217,feature_bz_lag_3,1148479.7827148438,37
218,feature_bd_lag_21,1146379.0874023438,59
219,feature_cb_lag_21,1141226.9116210938,60
220,feature_ai_lag_21,1135679.2807617188,42
221,feature_cb_lag_5,1133615.8935546875,50
222,feature_z_lag_1,1133614.9799804688,41
223,feature_a_rolling_mean_3,1125163.8269042969,57
224,feature_a_rolling_std_7,1124640.3266601562,59
225,feature_cd_lag_5,1123598.4738769531,46
226,feature_ce_lag_5,1115897.6193847656,54
227,feature_r_lag_21,1110638.3366699219,38
228,feature_ar_lag_14,1100654.6264648438,46
229,feature_az,1089759.6440429688,40
230,feature_u_lag_21,1070906.2126464844,49
231,feature_k,1063008.7666015625,42
232,feature_n_lag_3,1062137.2568359375,24
233,feature_bd_rolling_std_7,1059311.0908203125,59
234,feature_z_rolling_mean_7,1051712.0778808594,43
235,feature_h_lag_1,1048258.2446289062,30
236,feature_be_rolling_std_7,1046949.3635253906,67
237,feature_ad_lag_14,1040206.6398925781,48
238,feature_bz_rolling_mean_3,1037629.8608398438,27
239,feature_af_lag_3,1030508.2583007812,33
240,feature_ao_lag_21,1027779.3388671875,26
241,feature_ah_rolling_std_7,1027087.197265625,58
242,feature_bh_lag_21,1014013.1213378906,56
243,feature_h_lag_14,1010728.2021484375,37
244,feature_cd_lag_28,997022.8259277344,51
245,feature_cc_lag_28,990610.2607421875,29
246,feature_bl_lag_14,970503.7495117188,30
247,feature_be,965792.6706542969,39
248,feature_ca_lag_1,961325.7470703125,35
249,feature_az_lag_28,940321.6713867188,45
250,feature_i_lag_5,936297.8842773438,39
251,feature_ce_lag_3,931943.1630859375,44
252,feature_aj_rolling_mean_3,930938.8068847656,32
253,feature_bf,930768.8381347656,40
254,feature_ca_rolling_mean_3,923192.4333496094,30
255,feature_ao_lag_28,917640.1508789062,18
256,feature_by_rolling_mean_3,913089.9641113281,26
257,feature_cf_rolling_std_7,908702.1337890625,47
258,feature_i_rolling_mean_7,902988.0043945312,33
259,feature_cc_lag_5,902881.4985351562,23
260,feature_cd_lag_3,901764.4643554688,42
261,feature_bd_lag_5,898649.6845703125,34
262,feature_af_rolling_mean_3,890416.6958007812,35
263,feature_cc_lag_1,887944.7109375,34
264,feature_r_rolling_mean_7,883704.0517578125,33
265,feature_be_lag_28,881762.4580078125,42
266,feature_bd,881245.7021484375,49
267,feature_ca_lag_3,881099.9497070312,37
268,feature_bf_rolling_std_7,872464.4111328125,51
269,feature_aj_lag_3,871578.0112304688,29
270,feature_cc_rolling_mean_7,870704.5473632812,28
271,feature_k_lag_21,859961.3182373047,36
272,feature_bg_lag_5,850621.1975097656,39
273,feature_bd_lag_1,844645.8286132812,39
274,feature_bo_lag_28,842885.8073730469,38
275,feature_k_lag_1,840240.4113769531,29
276,feature_m_lag_5,833555.7136230469,34
277,feature_bg_lag_3,827269.8662109375,36
278,feature_ao_lag_14,808938.7490234375,15
279,feature_bh_lag_1,808068.0288085938,36
280,feature_bh_lag_14,807237.1513671875,41
281,feature_j_lag_1,807203.9658203125,28
282,feature_k_lag_28,806665.4228515625,39
283,feature_aj_rolling_mean_7,801828.1713867188,38
284,feature_be_lag_14,799611.3984375,39
285,feature_ar_lag_3,799295.9812011719,39
286,feature_ad_lag_5,792624.5400390625,24
287,feature_be_lag_21,789511.7783203125,32
288,feature_bn_lag_21,785975.1796875,33
289,feature_j_lag_14,785578.5073242188,36
290,feature_k_rolling_std_7,772518.8488769531,39
291,feature_h_lag_5,770883.65234375,28
292,feature_bz_lag_1,768604.3979492188,38
293,feature_ai_lag_28,766323.6225585938,37
294,feature_bf_lag_28,763862.0693359375,43
295,feature_u_rolling_mean_3,763764.3076171875,29
296,feature_bq,750974.23046875,36
297,feature_bz_lag_14,749485.1843261719,32
298,feature_y_lag_21,747479.2097167969,45
299,feature_bz_rolling_mean_7,743669.0080566406,44
300,feature_bl_lag_1,742387.6796875,21
301,feature_x,739820.6987304688,31
302,feature_z_lag_3,737391.4897460938,24
303,feature_k_lag_14,731512.552734375,33
304,feature_h_rolling_mean_7,728885.4780273438,29
305,feature_n_rolling_mean_3,726466.8383789062,28
306,feature_ac_lag_28,721303.3569335938,42
307,feature_ca_lag_28,712725.42578125,38
308,feature_bp_rolling_mean_7,701736.6005859375,27
309,feature_n_rolling_mean_7,696176.8569335938,35
310,feature_bd_lag_14,695233.794921875,41
311,feature_bp_lag_14,694144.6403808594,42
312,feature_y_lag_28,687513.7934570312,41
313,feature_y,683234.73046875,41
314,feature_r_lag_3,665850.3671875,33
315,feature_ad_rolling_mean_7,644875.5590820312,28
316,feature_j_lag_5,639440.1479492188,28
317,feature_at,638331.998046875,28
318,feature_z_rolling_mean_3,633220.7495117188,28
319,feature_bd_rolling_mean_7,619138.8952636719,26
320,feature_cc_rolling_std_7,618027.3884277344,30
321,feature_r_lag_14,617631.5278320312,31
322,feature_bn_lag_28,609701.720703125,35
323,feature_ah_lag_5,601020.2780761719,34
324,feature_az_lag_14,596038.7111816406,28
325,feature_ae_lag_14,590358.3271484375,18
326,feature_cc_lag_21,583144.490234375,14
327,feature_ap_lag_21,578154.548828125,11
328,feature_ch_lag_28,576175.388671875,17
329,feature_l_lag_3,571726.2131347656,18
330,feature_bn,567331.6083984375,32
331,feature_bm,566184.7060546875,25
332,feature_l_lag_1,556571.9365234375,20
333,feature_aj_lag_5,553153.0183105469,18
334,feature_r_lag_5,551324.1704101562,21
335,feature_h_lag_3,547114.0717773438,18
336,feature_at_lag_1,542109.4404296875,19
337,feature_ai_rolling_std_7,541711.2307128906,23
338,feature_bx_rolling_std_7,536062.9174804688,17
339,feature_u_lag_5,525209.9521484375,13
340,feature_l_rolling_mean_3,523213.74560546875,22
341,feature_be_lag_1,511142.7883300781,24
342,feature_ay_rolling_mean_7,508341.103515625,27
343,feature_bh_rolling_mean_7,507180.6435546875,21
344,feature_z_lag_5,506602.2307128906,31
345,feature_cc_lag_3,505085.61474609375,20
346,feature_at_lag_28,502536.88720703125,27
347,feature_ad_lag_1,500994.7321777344,32
348,feature_bq_lag_1,499269.234375,20
349,feature_ah_lag_1,499267.009765625,28
350,feature_bz_rolling_std_7,498672.44140625,24
351,feature_bm_lag_5,496112.54541015625,17
352,feature_ap,496098.310546875,9
353,feature_al_rolling_mean_3,493585.13037109375,44
354,feature_bd_lag_3,492804.1826171875,27
355,feature_bf_lag_14,489818.8046875,26
356,feature_bh_lag_5,487973.8767089844,24
357,feature_ae_lag_28,478944.11572265625,23
358,feature_bf_lag_21,478166.8759765625,26
359,feature_bo,456253.1696777344,15
